"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"1","0.000000000","74.125.24.189","10.42.0.56","UDP","62","443","49585","443  >  49585 Len=20"
"2","0.195627644","74.125.24.189","10.42.0.56","UDP","62","443","49585","443  >  49585 Len=20"
"3","1.548621050","10.42.0.56","224.0.0.251","MDNS","87","5353","5353","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"4","3.859317727","10.42.0.56","10.42.0.1","DNS","100","32812","53","Standard query 0xe3de A clientservices.googleapis.com OPT"
"5","3.862905085","10.42.0.1","10.42.0.56","DNS","116","53","32812","Standard query response 0xe3de A clientservices.googleapis.com A 216.58.196.195 OPT"
"6","3.869838216","10.42.0.56","216.58.196.195","UDP","1392","46454","443","46454  >  443 Len=1350"
"7","3.869968923","10.42.0.56","216.58.196.195","UDP","324","46454","443","46454  >  443 Len=282"
"8","3.980437754","10.42.0.56","216.58.196.195","UDP","1392","46454","443","46454  >  443 Len=1350"
"9","3.985954359","216.58.196.195","10.42.0.56","UDP","78","443","46454","443  >  46454 Len=36"
"10","3.998917027","216.58.196.195","10.42.0.56","UDP","1392","443","46454","443  >  46454 Len=1350"
"11","4.004023059","10.42.0.56","216.58.196.195","UDP","1392","46454","443","46454  >  443 Len=1350"
"12","4.004227650","10.42.0.56","216.58.196.195","UDP","324","46454","443","46454  >  443 Len=282"
"13","4.009367839","216.58.196.195","10.42.0.56","UDP","81","443","46454","443  >  46454 Len=39"
"14","4.016465576","216.58.196.195","10.42.0.56","UDP","81","443","46454","443  >  46454 Len=39"
"15","4.030215787","10.42.0.56","216.58.196.195","UDP","78","46454","443","46454  >  443 Len=36"
"16","4.101863677","216.58.196.195","10.42.0.56","UDP","1392","443","46454","443  >  46454 Len=1350"
"17","4.103490465","10.42.0.56","216.58.196.195","UDP","91","46454","443","46454  >  443 Len=49"
"18","4.111978476","216.58.196.195","10.42.0.56","UDP","65","443","46454","443  >  46454 Len=23"
"19","4.123189772","10.42.0.56","216.58.196.195","UDP","316","46454","443","46454  >  443 Len=274"
"20","4.132253022","216.58.196.195","10.42.0.56","UDP","65","443","46454","443  >  46454 Len=23"
"21","4.355078464","216.58.196.195","10.42.0.56","UDP","254","443","46454","443  >  46454 Len=212"
"22","4.356010539","216.58.196.195","10.42.0.56","UDP","58","443","46454","443  >  46454 Len=16"
"23","4.356972128","10.42.0.56","216.58.196.195","UDP","70","46454","443","46454  >  443 Len=28"
"24","5.834670317","91.189.92.38","10.42.0.56","TLSv1.2","97","443","56702","Encrypted Alert"
"25","5.834751573","10.42.0.56","91.189.92.38","TCP","66","56702","443","56702  >  443 [ACK] Seq=1 Ack=32 Win=517 Len=0 TSval=2478907516 TSecr=280595309"
"26","5.834993053","10.42.0.56","91.189.92.38","TLSv1.2","97","56702","443","Encrypted Alert"
"27","5.835083319","10.42.0.56","91.189.92.38","TCP","66","56702","443","56702  >  443 [FIN, ACK] Seq=32 Ack=32 Win=517 Len=0 TSval=2478907516 TSecr=280595309"
"28","5.835784093","91.189.92.38","10.42.0.56","TCP","66","443","56702","443  >  56702 [FIN, ACK] Seq=32 Ack=1 Win=966 Len=0 TSval=280595309 TSecr=2478857791"
"29","5.835837566","10.42.0.56","91.189.92.38","TCP","66","56702","443","56702  >  443 [ACK] Seq=33 Ack=33 Win=517 Len=0 TSval=2478907517 TSecr=280595309"
"30","5.837792862","91.189.92.38","10.42.0.56","TCP","66","443","56702","[TCP Out-Of-Order] 443  >  56702 [FIN, ACK] Seq=32 Ack=32 Win=966 Len=0 TSval=280595309 TSecr=2478907516"
"31","5.837861051","10.42.0.56","91.189.92.38","TCP","78","56702","443","[TCP Dup ACK 29#1] 56702  >  443 [ACK] Seq=33 Ack=33 Win=517 Len=0 TSval=2478907519 TSecr=280595309 SLE=32 SRE=33"
"32","5.838440480","91.189.92.38","10.42.0.56","TCP","66","443","56702","[TCP Out-Of-Order] 443  >  56702 [FIN, ACK] Seq=32 Ack=33 Win=966 Len=0 TSval=280595309 TSecr=2478907516"
"33","10.766612702","10.42.0.56","10.42.0.1","DNS","100","50135","53","Standard query 0x947d A people-pa.clients6.google.com OPT"
"34","10.948797724","10.42.0.1","10.42.0.56","DNS","116","53","50135","Standard query response 0x947d A people-pa.clients6.google.com A 172.217.161.10 OPT"
"35","10.952049897","10.42.0.56","172.217.161.10","UDP","1392","55075","443","55075  >  443 Len=1350"
"36","10.952275970","10.42.0.56","172.217.161.10","UDP","1388","55075","443","55075  >  443 Len=1346"
"37","11.016498865","10.42.0.56","172.217.161.10","UDP","1392","55075","443","55075  >  443 Len=1350"
"38","11.019588506","172.217.161.10","10.42.0.56","UDP","78","443","55075","443  >  55075 Len=36"
"39","11.026802519","172.217.161.10","10.42.0.56","UDP","81","443","55075","443  >  55075 Len=39"
"40","11.049978710","172.217.161.10","10.42.0.56","UDP","1392","443","55075","443  >  55075 Len=1350"
"41","11.056022484","10.42.0.56","172.217.161.10","UDP","1392","55075","443","55075  >  443 Len=1350"
"42","11.056236487","10.42.0.56","172.217.161.10","UDP","1388","55075","443","55075  >  443 Len=1346"
"43","11.092590124","172.217.161.10","10.42.0.56","UDP","78","443","55075","443  >  55075 Len=36"
"44","11.154482749","172.217.161.10","10.42.0.56","UDP","1392","443","55075","443  >  55075 Len=1350"
"45","11.155642209","10.42.0.56","172.217.161.10","UDP","91","55075","443","55075  >  443 Len=49"
"46","11.168298817","172.217.161.10","10.42.0.56","UDP","65","443","55075","443  >  55075 Len=23"
"47","11.168594935","10.42.0.56","172.217.161.10","UDP","1380","55075","443","55075  >  443 Len=1338"
"48","11.178551551","172.217.161.10","10.42.0.56","UDP","65","443","55075","443  >  55075 Len=23"
"49","11.259190028","172.217.161.10","10.42.0.56","UDP","474","443","55075","443  >  55075 Len=432"
"50","11.260259098","172.217.161.10","10.42.0.56","UDP","58","443","55075","443  >  55075 Len=16"
"51","11.260372002","10.42.0.56","172.217.161.10","UDP","70","55075","443","55075  >  443 Len=28"
"52","11.261533325","10.42.0.56","10.42.0.1","DNS","91","50246","53","Standard query 0x5495 A beacons.gcp.gvt2.com OPT"
"53","11.261740830","10.42.0.56","10.42.0.1","DNS","81","36147","53","Standard query 0x35fc A google.com OPT"
"54","11.266050506","10.42.0.56","172.217.161.10","UDP","1392","50477","443","50477  >  443 Len=1350"
"55","11.295942977","10.42.0.1","10.42.0.56","DNS","97","53","36147","Standard query response 0x35fc A google.com A 172.217.166.238 OPT"
"56","11.303268251","10.42.0.56","172.217.166.238","UDP","1392","40724","443","40724  >  443 Len=1350"
"57","11.303419324","172.217.161.10","10.42.0.56","UDP","78","443","50477","443  >  50477 Len=36"
"58","11.338935253","172.217.166.238","10.42.0.56","UDP","78","443","40724","443  >  40724 Len=36"
"59","11.358844743","172.217.161.10","10.42.0.56","UDP","1392","443","50477","443  >  50477 Len=1350"
"60","11.362582228","10.42.0.56","172.217.161.10","UDP","1392","50477","443","50477  >  443 Len=1350"
